Req,Title,Status,Finding,Action
ENERGY_REQ_7,"Maximum stored energy under 10 kWh",PASS,"546 cells x 3.6 V x 5.0 Ah x f=1.0 = 9828 Wh. Margin 172 Wh (1.72%).","Margin is thin. The rule caps the pack at 555 cells of this type; you have 546."
ENERGY_REQ_188,"Motor nominal power at or below 25 kW",ACTION,"Competr hardware is rated 26.9 kW nominal (42 kW peak), which is 1.9 kW over the rule limit. The drivetrain is configured to 25.0 kW, which complies, and every model in this project enforces that limit.","Compliance depends entirely on the derate. Get a written statement from Competr confirming the unit can be limited to 25 kW nominal, and be able to show the setting in the inverter configuration at scrutineering."
ENERGY_REQ_187,"Approval required for voltage above 100 V",ACTION,"Pack reaches 109.2 V at 100% SOC (26S x 4.2 V), above the 100 V threshold.","Obtain Technical Committee approval during registration. This is a paperwork gate, not a design fault -- but without it the boat cannot race."
ENERGY_REQ_191,"High voltage training certification",ACTION,"System reaches 109.2 V, so the 100 V threshold applies.","Everyone who works on the pack needs a high voltage training certificate. Checked at technical inspection."
ENERGY_REQ_59,"Fuse rating below weakest protected component",PASS,"400 A fuse protects Series busbar (90 mm2) rated 450 A continuous.",""
ENERGY_REQ_58,"Fuse immediately after the energy storage",MODELLED,"A 400 A fuse is modelled in the HV path.","Confirm the physical fuse sits immediately after the pack terminals, before any other component. Also required on the telemetry battery."
ENERGY_REQ_57,"Adequately sized wire gauge",PASS,"150 mm2 cable, 459 A derated, against 375 A maximum continuous draw.",""
ENERGY_REQ_23,"Batteries used within datasheet ratings",PASS,"17.86 A per cell at the 375 A bus maximum, against a 60 A datasheet continuous rating (30% utilisation).",""
ENERGY_REQ_93,"Exposed parts below 60 degC",PASS,"Highest modelled steady cell temperature 35.1 degC.",""
ENERGY_REQ_67,"Battery temperature monitored and shown to pilot",ACTION,"Not a model property. The BMS must display cell temperature to the pilot, and the telemetry battery needs monitoring too.","Confirm the BMS temperature channel reaches the pilot display."
ENERGY_REQ_68,"Pilot warned at 90% of maximum temperature",ACTION,"With a 70 degC cell maximum, the warning must trigger at 63 degC.","Set the BMS warning threshold to 63 degC."
ENERGY_REQ_154,"Steering rotates at least 40 degrees each side",PASS,"Competr steering range -40 to +40 degrees.","Exactly at the limit, with no margin. Verify the installed range on the boat."
ENERGY_REQ_5,"No ammonia, fossil fuel or nuclear energy",PASS,"Battery electric. The only stored energy aboard is the 9.83 kWh lithium pack and the secondary telemetry battery, both of which the rule permits.","Note that ENERGY_REQ_7 note 3 exempts the telemetry battery from the energy calculation but not from the fusing and monitoring rules."
ENERGY_REQ_6,"No direct CO2 emissions",PASS,"Battery electric, no combustion of any kind aboard.",""
ENERGY_REQ_31,"No human powered mechanical energy",PASS,"No human-powered propulsion or actuation.","Declared in the parameter file. Confirm on the build at inspection."
ENERGY_REQ_48,"Overall weight excluding hulls under 250 kg",ACTION,"247.6 kg excluding hulls against a 250 kg limit, margin 2.4 kg (1.0%). The scales will read 312.6 kg with the 65 kg of hulls and the pilot.","30% of the budget is allowances rather than weighed parts, and an overweight boat is not allowed in the water at all. Put the pack, the cockpit shell and the outboard on a scale as soon as each exists."
